Car,BA 123 N,Blue,Toyota,8000.0
Motorcycle,BA 123 HA,green,CBR,4000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
Motorcycle,AG 123123,White,Honda Vario 150,8000.0
Car,KH 123123,Black,Brio,14000.0
Motorcycle,N 1283 FH,White,Vario 125,8000.0
Car,asdads,asdasd,asdads,14000.0
